baseline,checkpoint,episode,episode_length,episode_return,mean_coverage_rate,mean_energy_remaining,mean_mean_transport_rate,mean_num_delivered_cargoes,mean_real_coverage_rate,scenario,seed
heuristic,,0,1200,-1598.0,0.7129166666666666,nan,0.3047648995229711,17.269166666666667,0.6767361111111111,MATE-4v4-9,0
heuristic,,1,930,-1732.0,0.7094086021505376,nan,0.3823252793139195,14.934408602150537,0.661111111111111,MATE-4v4-9,0
heuristic,,2,1517,-1424.0,0.7755438365194463,nan,0.28792052951889324,18.159525379037575,0.709789057350033,MATE-4v4-9,0
heuristic,,3,1112,-1614.0,0.6758093525179856,nan,0.29295257940650593,16.011690647482013,0.5995953237410072,MATE-4v4-9,0
heuristic,,4,1380,-1794.0,0.715036231884058,nan,0.27331451509980037,18.673188405797102,0.5883454106280194,MATE-4v4-9,0
heuristic,,5,1179,-1544.0,0.719253604749788,nan,0.2950910765376653,17.620016963528414,0.6735934407690133,MATE-4v4-9,0
heuristic,,6,1249,-1366.0,0.7656124899919936,nan,0.27692360039906805,17.485988791032828,0.6485188150520417,MATE-4v4-9,0
heuristic,,7,1358,-2080.0,0.6767304860088366,nan,0.3610072631880366,17.986745213549337,0.6411389297987236,MATE-4v4-9,0
heuristic,,8,1574,-1602.0,0.704574332909784,nan,0.2909953356160806,19.793519695044473,0.6100169419737399,MATE-4v4-9,0
heuristic,,9,1394,-1512.0,0.7648852223816356,nan,0.29413464829556285,18.245337159253946,0.713833094213295,MATE-4v4-9,0
heuristic,,10,1125,-1452.0,0.7242222222222222,nan,0.261723451319109,17.020444444444443,0.6925185185185184,MATE-4v4-9,0
heuristic,,11,1369,-1454.0,0.7271731190650109,nan,0.24967479557349526,17.77209642074507,0.6457876795714633,MATE-4v4-9,0
heuristic,,12,1550,-1634.0,0.7030645161290323,nan,0.3446385121093425,18.427096774193547,0.6429569892473118,MATE-4v4-9,0
heuristic,,13,1312,-1628.0,0.6983612804878049,nan,0.31685961212068775,17.448170731707318,0.6516133130081302,MATE-4v4-9,0
heuristic,,14,1211,-2464.0,0.6798100743187449,nan,0.4660202516989378,17.284888521882742,0.6198045692265345,MATE-4v4-9,0
heuristic,,15,1387,-2480.0,0.6820475847152127,nan,0.4230479977640064,18.630857966834895,0.533886085075703,MATE-4v4-9,0
heuristic,,16,1441,-2080.0,0.6441707147814018,nan,0.4952693223316965,17.993060374739763,0.6397756187832524,MATE-4v4-9,0
heuristic,,17,1171,-1940.0,0.6889410760034159,nan,0.322029512203731,15.901793339026472,0.5988471391972673,MATE-4v4-9,0
heuristic,,18,1374,-2694.0,0.6375545851528385,nan,0.39504403740530636,18.069868995633186,0.5292940320232896,MATE-4v4-9,0
heuristic,,19,1284,-1738.0,0.7305295950155763,nan,0.31899040379583193,18.823208722741434,0.5924844236760125,MATE-4v4-9,0
heuristic,,20,1276,-2498.0,0.6400862068965517,nan,0.39712915482457967,17.21394984326019,0.5105146290491118,MATE-4v4-9,0
heuristic,,21,1402,-2692.0,0.5606276747503567,nan,0.5460880774308448,17.881597717546363,0.4599976224441274,MATE-4v4-9,0
heuristic,,22,1171,-2502.0,0.5909479077711358,nan,0.5018439387779301,17.360375747224595,0.5614859094790777,MATE-4v4-9,0
heuristic,,23,1333,-3124.0,0.6082145536384096,nan,0.5182886389698748,18.541635408852212,0.3987246811702926,MATE-4v4-9,0
heuristic,,24,1305,-1346.0,0.8078544061302682,nan,0.24340058229033673,18.39616858237548,0.7078544061302682,MATE-4v4-9,0
heuristic,,25,1222,-1502.0,0.7395662847790507,nan,0.24068839687245128,16.15302782324059,0.63379705400982,MATE-4v4-9,0
heuristic,,26,1270,-1490.0,0.7553149606299212,nan,0.2583282687109361,17.53464566929134,0.7263123359580053,MATE-4v4-9,0
heuristic,,27,1349,-1582.0,0.7496293550778355,nan,0.24299738941992421,17.26686434395849,0.6129849271064987,MATE-4v4-9,0
heuristic,,28,1287,-2590.0,0.621989121989122,nan,0.4584393310163272,18.079254079254078,0.5874773374773375,MATE-4v4-9,0
heuristic,,29,1410,-2034.0,0.6741134751773049,nan,0.3632893322169629,18.086524822695036,0.5258274231678487,MATE-4v4-9,0
heuristic,,0,1249,-1832.0,0.6983586869495596,nan,0.39098756822627667,17.69815852682146,0.6097544702428609,MATE-4v4-9,1
heuristic,,1,903,-2208.0,0.6641749723145072,nan,0.48448771782130856,14.852713178294573,0.6192321889996308,MATE-4v4-9,1
heuristic,,2,1422,-2424.0,0.619901547116737,nan,0.4555661217641911,18.085794655414908,0.5130684481950305,MATE-4v4-9,1
heuristic,,3,1268,-2042.0,0.6912460567823344,nan,0.2786949178908134,17.691640378548897,0.5348317560462671,MATE-4v4-9,1
heuristic,,4,1421,-2006.0,0.6875439831104856,nan,0.3799209614592028,18.70865587614356,0.5653882242552193,MATE-4v4-9,1
heuristic,,5,1247,-2360.0,0.6647955092221332,nan,0.4788362990887185,18.294306335204492,0.5395616145415664,MATE-4v4-9,1
heuristic,,6,1151,-1562.0,0.7360990443092963,nan,0.3065420078811683,17.134665508253693,0.7093107442803359,MATE-4v4-9,1
heuristic,,7,1377,-2694.0,0.6383442265795207,nan,0.4755997034995825,18.419753086419753,0.5209392398934882,MATE-4v4-9,1
heuristic,,8,1387,-1206.0,0.7478370583994232,nan,0.2413124188050281,18.66113914924297,0.7000120163422254,MATE-4v4-9,1
heuristic,,9,1448,-2038.0,0.6666091160220995,nan,0.3363647714838758,18.953729281767956,0.5451772559852671,MATE-4v4-9,1
heuristic,,10,1226,-1714.0,0.7232871125611745,nan,0.3755979466894672,17.65742251223491,0.6557911908646004,MATE-4v4-9,1
heuristic,,11,1144,-1450.0,0.75,nan,0.33556125361401856,15.817307692307692,0.7155448717948717,MATE-4v4-9,1
heuristic,,12,1242,-2674.0,0.6010466988727858,nan,0.5279953885179263,17.42914653784219,0.5656199677938808,MATE-4v4-9,1
heuristic,,13,1218,-2050.0,0.6467569786535303,nan,0.4423360330896536,18.276683087027916,0.6024220032840722,MATE-4v4-9,1
heuristic,,14,1430,-1982.0,0.6818181818181818,nan,0.33037794655191643,17.63916083916084,0.6003496503496504,MATE-4v4-9,1
heuristic,,15,1056,-2224.0,0.6027462121212122,nan,0.39385668802104895,16.853219696969695,0.6178188131313131,MATE-4v4-9,1
heuristic,,16,1211,-1876.0,0.6837324525185797,nan,0.2879146178506778,16.80842279108175,0.6308147536471236,MATE-4v4-9,1
heuristic,,17,1457,-1748.0,0.6645504461221688,nan,0.32121646597247144,19.098833218943035,0.5268817204301076,MATE-4v4-9,1
heuristic,,18,1212,-2310.0,0.6322194719471947,nan,0.5053639245339067,17.418316831683168,0.5771452145214522,MATE-4v4-9,1
heuristic,,19,1132,-1670.0,0.7230565371024735,nan,0.3668517413903828,17.368374558303888,0.722688457008245,MATE-4v4-9,1
heuristic,,20,1206,-2270.0,0.632669983416252,nan,0.39724603625663685,17.180762852404644,0.5512023217247097,MATE-4v4-9,1
heuristic,,21,1465,-1920.0,0.6383959044368601,nan,0.3969511358591523,17.83617747440273,0.6367463026166098,MATE-4v4-9,1
heuristic,,22,1368,-2260.0,0.6432748538011696,nan,0.4651563652064036,18.400584795321638,0.5772417153996102,MATE-4v4-9,1
heuristic,,23,1394,-1866.0,0.6490315638450502,nan,0.386490411823217,17.436154949784793,0.5854854136776662,MATE-4v4-9,1
heuristic,,24,1036,-1798.0,0.7661679536679536,nan,0.3532606336878082,15.595559845559846,0.7408301158301158,MATE-4v4-9,1
heuristic,,25,1434,-1860.0,0.6797419804741981,nan,0.3428898292782619,19.472803347280333,0.5708972570897257,MATE-4v4-9,1
heuristic,,26,1251,-1836.0,0.6944444444444444,nan,0.3906987313924875,17.86810551558753,0.6346922462030375,MATE-4v4-9,1
heuristic,,27,1453,-2250.0,0.6970061940812113,nan,0.48293909475351204,18.764624913971094,0.5785157146134434,MATE-4v4-9,1
heuristic,,28,1175,-2918.0,0.5982978723404255,nan,0.5170537171884667,17.32085106382979,0.48404255319148937,MATE-4v4-9,1
heuristic,,29,1172,-2184.0,0.609641638225256,nan,0.4599195901255542,16.9419795221843,0.6545079635949943,MATE-4v4-9,1
heuristic,,0,1255,-1880.0,0.6936254980079681,nan,0.37462683285609094,17.6398406374502,0.6106905710491368,MATE-4v4-9,2
heuristic,,1,1105,-1318.0,0.7950226244343891,nan,0.24239046062680214,17.592760180995477,0.7279788838612369,MATE-4v4-9,2
heuristic,,2,1426,-2052.0,0.6607643758765779,nan,0.37098813236304906,18.517531556802243,0.6008648901355773,MATE-4v4-9,2
heuristic,,3,1114,-1560.0,0.7075852782764811,nan,0.3062883858496892,16.615798922800717,0.6334530221424297,MATE-4v4-9,2
heuristic,,4,1391,-3214.0,0.5850107836089145,nan,0.5765450081636746,19.31631919482387,0.4308650850706926,MATE-4v4-9,2
heuristic,,5,1107,-2386.0,0.5907859078590786,nan,0.5232392286493605,16.693766937669377,0.5633092442035531,MATE-4v4-9,2
heuristic,,6,1155,-1762.0,0.6688311688311688,nan,0.36133726067984945,16.857142857142858,0.637012987012987,MATE-4v4-9,2
heuristic,,7,1287,-2436.0,0.6006216006216006,nan,0.4512501886314927,16.99222999222999,0.5963480963480964,MATE-4v4-9,2
heuristic,,8,1370,-782.0,0.8288321167883211,nan,0.21031672397973047,18.53941605839416,0.7105231143552312,MATE-4v4-9,2
heuristic,,9,1319,-2674.0,0.5826383623957544,nan,0.43657922927248277,18.03563305534496,0.5189537528430629,MATE-4v4-9,2
heuristic,,10,1045,-3240.0,0.5392344497607655,nan,0.6361045370288001,16.005741626794258,0.5085326953748007,MATE-4v4-9,2
heuristic,,11,1313,-2084.0,0.6553693830921554,nan,0.32128161733405286,18.404417364813405,0.5566768215283068,MATE-4v4-9,2
heuristic,,12,1443,-2842.0,0.6044698544698545,nan,0.4771990278003198,18.338184338184337,0.4777662277662278,MATE-4v4-9,2
heuristic,,13,1518,-1694.0,0.7086627140974967,nan,0.23333051801372312,18.6699604743083,0.6047979797979798,MATE-4v4-9,2
heuristic,,14,1491,-2028.0,0.7352448021462106,nan,0.3174457858656766,18.6841046277666,0.5813212608987256,MATE-4v4-9,2
heuristic,,15,1062,-1692.0,0.7504708097928436,nan,0.387307933118582,16.141242937853107,0.6837727558066541,MATE-4v4-9,2
heuristic,,16,1325,-2436.0,0.6622641509433962,nan,0.49309903058267307,17.998490566037734,0.5250943396226415,MATE-4v4-9,2
heuristic,,17,1266,-2546.0,0.5369273301737757,nan,0.47747297785660126,16.656398104265403,0.5156003159557662,MATE-4v4-9,2
heuristic,,18,1203,-1352.0,0.7030340814630092,nan,0.2596785494053644,16.753117206982544,0.6625103906899418,MATE-4v4-9,2
heuristic,,19,1111,-2598.0,0.6332133213321333,nan,0.4577521766025659,17.847884788478847,0.5795829582958295,MATE-4v4-9,2
heuristic,,20,1254,-1872.0,0.6742424242424242,nan,0.29786798045193735,17.629186602870814,0.5972886762360446,MATE-4v4-9,2
heuristic,,21,1508,-1612.0,0.6967838196286472,nan,0.2626933211333104,17.78580901856764,0.6598695844385499,MATE-4v4-9,2
heuristic,,22,1392,-2182.0,0.6772629310344828,nan,0.3492758595986898,18.685344827586206,0.5833333333333334,MATE-4v4-9,2
heuristic,,23,1363,-1538.0,0.7136830520909758,nan,0.279521458172264,18.076302274394717,0.650464661286378,MATE-4v4-9,2
heuristic,,24,1343,-2138.0,0.625837676842889,nan,0.41406442918545144,17.594192107222636,0.5876147927525441,MATE-4v4-9,2
heuristic,,25,1292,-2480.0,0.6205495356037152,nan,0.4871516376299879,17.735294117647058,0.6342879256965944,MATE-4v4-9,2
heuristic,,26,1259,-1914.0,0.6822875297855441,nan,0.34056628722344673,17.914217633042096,0.6753375694996029,MATE-4v4-9,2
heuristic,,27,1478,-2032.0,0.5989512855209743,nan,0.36941896015469955,17.778755074424897,0.5125169147496617,MATE-4v4-9,2
heuristic,,28,1553,-2306.0,0.6239536381197682,nan,0.40975468051275205,18.933032839665163,0.5361128997638978,MATE-4v4-9,2
heuristic,,29,1590,-2064.0,0.6880503144654088,nan,0.30666515972618386,19.742138364779873,0.5207547169811321,MATE-4v4-9,2
