adapter,episode,episode_length,episode_return,inner,mean_coverage_rate,mean_mean_transport_rate,mean_num_delivered_cargoes,mean_real_coverage_rate,scenario,seed
informed,0,1249,-9744.0,random,0.1794435548438751,0.7489098222461648,35.57085668534828,0.20430248961073622,MATE-4v8-9,0
informed,1,1346,-11254.0,random,0.08887444279346211,0.8353462132842264,38.332838038632985,0.08060036793320596,MATE-4v8-9,0
informed,2,1178,-11008.0,random,0.11778438030560272,0.7970034262774152,35.11290322580645,0.10181097906055461,MATE-4v8-9,0
informed,3,1092,-9624.0,random,0.22206959706959706,0.7560796222177005,34.53113553113553,0.2224849555206698,MATE-4v8-9,0
informed,4,1336,-10586.0,random,0.14193488023952097,0.7952273976022659,37.28967065868263,0.16360582406615343,MATE-4v8-9,0
informed,5,1196,-11022.0,random,0.16555183946488294,0.8276641793990946,36.17725752508361,0.11454849498327759,MATE-4v8-9,0
informed,6,1152,-10304.0,random,0.1611328125,0.77350849082853,33.38975694444444,0.16142939814814813,MATE-4v8-9,0
informed,7,1112,-10952.0,random,0.12578687050359713,0.8466460809405589,34.31384892086331,0.11244754196642685,MATE-4v8-9,0
informed,8,1235,-10540.0,random,0.14686234817813765,0.7929305679404525,36.659919028340084,0.1637218045112782,MATE-4v8-9,0
informed,9,1131,-9580.0,random,0.20347038019451813,0.736832436991305,34.4367816091954,0.19643278177760934,MATE-4v8-9,0
informed,10,1342,-9768.0,random,0.17567064083457526,0.7612722300484903,38.33904619970194,0.19316851181605277,MATE-4v8-9,0
informed,11,1212,-11184.0,random,0.10468234323432343,0.8222799126715735,36.948019801980195,0.1053345513122741,MATE-4v8-9,0
informed,12,1069,-11348.0,random,0.12172591206735267,0.8626980873896207,34.08419083255379,0.10742460688672101,MATE-4v8-9,0
informed,13,972,-10508.0,random,0.14930555555555555,0.7968277779218204,32.022633744855966,0.1797900744660004,MATE-4v8-9,0
informed,14,1395,-10944.0,random,0.13163082437275986,0.8250057404902518,36.452329749103946,0.12944871138419525,MATE-4v8-9,0
informed,15,1153,-10700.0,random,0.17096704249783173,0.7829153967573963,35.55767562879445,0.13884999793499359,MATE-4v8-9,0
informed,16,1365,-9962.0,random,0.20045787545787547,0.7780042455518821,38.37948717948718,0.2104099075527647,MATE-4v8-9,0
informed,17,1074,-10628.0,random,0.13396182495344505,0.7586977195623524,33.1852886405959,0.14370732464307884,MATE-4v8-9,0
informed,18,1340,-9284.0,random,0.2230410447761194,0.7214821479940723,34.940298507462686,0.22656272210376688,MATE-4v8-9,0
informed,19,1332,-10298.0,random,0.1676051051051051,0.7913556287761343,38.411411411411414,0.1759482696982697,MATE-4v8-9,0
informed,20,1178,-10730.0,random,0.14632852292020374,0.7900395145966479,35.97623089983022,0.12815506508205998,MATE-4v8-9,0
informed,21,1258,-9276.0,random,0.24791335453100158,0.7451778337452086,36.189984101748806,0.23608335225982285,MATE-4v8-9,0
informed,22,1080,-10306.0,random,0.15231481481481482,0.8032037338785116,33.032407407407405,0.16975529100529102,MATE-4v8-9,0
