checkpoint,episode,episode_length,episode_return,mean_coverage_rate,mean_mean_transport_rate,mean_num_delivered_cargoes,mean_real_coverage_rate,scenario,seed
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,0,1323,-0.9309375024749897,0.05876795162509448,0.8917534153588415,18.020408163265305,0.04176114890400605,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,1,1177,-0.9418749987089541,0.0395072217502124,0.9042234012760682,15.615972812234494,0.05048145001416029,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,2,1286,-0.9506250018894207,0.034409020217729396,0.8848174479668527,17.758164852255053,0.03512182477967859,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,3,1322,-0.9668750032724347,0.02401664145234493,0.9217521876265241,17.807110438729197,0.02294503277861825,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,4,1382,-0.8803125016856939,0.08447901591895803,0.8252119223771325,17.245296671490593,0.08996623251326578,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,5,1141,-0.9531250028230716,0.04163014899211218,0.9012290733583552,17.06222611744084,0.0352760736196319,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,6,1084,-0.9825000029522926,0.048892988929889296,0.9257759859592884,17.142066420664207,0.016374538745387454,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,7,1129,-0.9634374957822729,0.03941541186891054,0.8843190197412041,16.785651018600532,0.02590788308237378,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,8,1389,-0.9225000010046642,0.04463642908567315,0.877621585422322,17.108711303095752,0.05669546436285097,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,9,1331,-0.9390625019441359,0.05033809166040571,0.8649417290839818,18.38542449286251,0.0640495867768595,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,10,1484,-0.9712500028545037,0.018194070080862535,0.930495722420479,18.026280323450134,0.030098831985624436,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,11,1317,-0.943437499954598,0.05827638572513288,0.9071431255943389,17.85269552012149,0.05251834978486458,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,12,1498,-0.9306249990477227,0.045226969292389854,0.9041705967940409,17.928571428571427,0.05212505562972852,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,13,1280,-0.9193750025297049,0.0630859375,0.8710569905963123,18.00234375,0.061067708333333325,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,14,1246,-0.9575000044133049,0.0278892455858748,0.9058254397301713,17.29454253611557,0.0351123595505618,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,15,1500,-0.9818750032573007,0.011666666666666667,0.9427485157597512,19.296,0.01261111111111111,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,16,1165,-0.9465625043085311,0.036695278969957085,0.907327251897315,16.784549356223177,0.050715307582260366,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,17,1360,-0.9421875024272595,0.03400735294117647,0.8965810251857386,18.136029411764707,0.04589460784313725,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,18,1302,-0.9487499972165097,0.042434715821812595,0.9142561617092945,18.137480798771122,0.03795442908346134,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,19,1162,-0.960625002742745,0.030335628227194492,0.8703230894587467,16.641135972461274,0.028327596098680435,MATE-2v4-9,0
checkpoints/dqn_MATE-2v4-9/dqn_MATE-2v4-9_seed1/dqn_20260526-055841.pt,20,1094,-0.9659375038754661,0.02490859232175503,0.9346266692685896,17.218464351005483,0.03481109079829372,MATE-2v4-9,0
