adapter,episode,episode_length,episode_return,inner,mean_coverage_rate,mean_mean_transport_rate,mean_num_delivered_cargoes,mean_real_coverage_rate,scenario,seed
informed,0,1314,-5644.0,greedy,0.0745814307458143,0.767891127968969,17.857686453576864,0.07191780821917808,MATE-2v4-9,0
informed,1,1144,-5552.0,greedy,0.09265734265734266,0.8021025783721344,16.081293706293707,0.10518648018648018,MATE-2v4-9,0
informed,2,1193,-6088.0,greedy,0.04358759430008382,0.8939704227566115,18.076278290025147,0.03269069572506287,MATE-2v4-9,0
informed,3,1210,-5882.0,greedy,0.06074380165289256,0.876875320385889,17.356198347107437,0.05351239669421488,MATE-2v4-9,0
informed,4,1513,-5750.0,greedy,0.07105089226701916,0.8089854626083317,18.557171183079973,0.05370125578321216,MATE-2v4-9,0
informed,5,1301,-5990.0,greedy,0.08820138355111452,0.8738178770733918,18.177555726364336,0.04695106328465283,MATE-2v4-9,0
informed,6,1122,-6218.0,greedy,0.023841354723707665,0.9197251950284002,17.5650623885918,0.020276292335115863,MATE-2v4-9,0
informed,7,1340,-5952.0,greedy,0.041791044776119404,0.8469837078728558,17.821641791044776,0.041791044776119404,MATE-2v4-9,0
informed,8,1192,-5206.0,greedy,0.12919463087248323,0.7437767811982205,18.203020134228186,0.13499720357941833,MATE-2v4-9,0
informed,9,1255,-5598.0,greedy,0.1,0.7952457935672665,18.44382470119522,0.10219123505976095,MATE-2v4-9,0
informed,10,1268,-5844.0,greedy,0.08261041009463722,0.841488806993973,18.308359621451103,0.06171135646687697,MATE-2v4-9,0
informed,11,1065,-6208.0,greedy,0.022535211267605635,0.9201775599985222,16.457276995305165,0.04687010954616588,MATE-2v4-9,0
informed,12,1462,-5538.0,greedy,0.07609439124487004,0.8319296878941795,19.34610123119015,0.08441632466940263,MATE-2v4-9,0
informed,13,1242,-5792.0,greedy,0.06521739130434782,0.8481986492337147,18.134460547504027,0.07528180354267311,MATE-2v4-9,0
informed,14,1208,-6050.0,greedy,0.048013245033112585,0.8873342624940018,18.225993377483444,0.041390728476821195,MATE-2v4-9,0
