adapter,episode,episode_length,episode_return,inner,mean_coverage_rate,mean_mean_transport_rate,mean_num_delivered_cargoes,mean_real_coverage_rate,scenario,seed
informed,0,1363,-6106.0,naive,0.028980190755685985,0.8927346613602483,17.56419662509171,0.036072389337246276,MATE-2v4-9,0
informed,1,1199,-5778.0,naive,0.06547122602168473,0.8625068840353693,16.4278565471226,0.0661662496524882,MATE-2v4-9,0
informed,2,1155,-6208.0,naive,0.02207792207792208,0.8967200468187975,17.78181818181818,0.02077922077922078,MATE-2v4-9,0
informed,3,1145,-6014.0,naive,0.049344978165938864,0.8752674032104331,16.58515283842795,0.04213973799126638,MATE-2v4-9,0
informed,4,1409,-5870.0,naive,0.06352022711142655,0.8721065352196143,18.04613200851668,0.05352495859947954,MATE-2v4-9,0
informed,5,1317,-6174.0,naive,0.06548974943052392,0.8859347440081894,17.91343963553531,0.024677296886864084,MATE-2v4-9,0
informed,6,1073,-6138.0,naive,0.030521901211556384,0.912126803246764,17.12022367194781,0.030521901211556384,MATE-2v4-9,0
informed,7,1383,-5892.0,naive,0.04591467823571945,0.8611293749608068,18.69631236442516,0.05959267293323692,MATE-2v4-9,0
informed,8,1244,-5650.0,naive,0.07536173633440514,0.8620095749375675,17.217041800643088,0.10423365487674169,MATE-2v4-9,0
informed,9,1842,-6024.0,naive,0.04234527687296417,0.8979625798115892,19.631921824104236,0.029496923633731447,MATE-2v4-9,0
informed,10,1499,-6074.0,naive,0.03519012675116744,0.9096329960465104,16.05537024683122,0.04263953746942406,MATE-2v4-9,0
informed,11,1351,-5744.0,naive,0.06069578090303479,0.8515495502484571,18.954108068097707,0.10566247224278312,MATE-2v4-9,0
informed,12,1436,-5836.0,naive,0.057103064066852366,0.8777562492742066,18.328690807799443,0.06824512534818941,MATE-2v4-9,0
informed,13,1308,-6068.0,naive,0.03784403669724771,0.8676386927381431,18.37079510703364,0.034212538226299695,MATE-2v4-9,0
informed,14,1211,-6178.0,naive,0.051610239471511145,0.9105136868649821,17.432700247729148,0.02291494632535095,MATE-2v4-9,0
informed,15,1307,-5838.0,naive,0.06273909716908951,0.8957482667472528,16.745983167559295,0.07657485335373629,MATE-2v4-9,0
informed,16,1317,-6100.0,naive,0.04062262718299165,0.8652338262189978,16.575550493545936,0.02847380410022779,MATE-2v4-9,0
informed,17,1408,-5878.0,naive,0.05575284090909091,0.8833570178146674,18.29403409090909,0.07173295454545454,MATE-2v4-9,0
informed,18,1085,-5904.0,naive,0.05714285714285714,0.8932667139308578,16.082027649769586,0.06090629800307219,MATE-2v4-9,0
informed,19,1105,-5952.0,naive,0.05271493212669683,0.9143202885961486,16.684162895927603,0.0585972850678733,MATE-2v4-9,0
informed,20,1337,-6034.0,naive,0.05478683620044877,0.9155952338454678,18.80329094988781,0.05971079531288956,MATE-2v4-9,0
informed,21,1297,-5940.0,naive,0.06187355435620663,0.8619557264862412,16.039321511179644,0.04658185556412233,MATE-2v4-9,0
informed,22,1680,-5758.0,naive,0.07916666666666666,0.8833664828123392,19.95059523809524,0.08174603174603173,MATE-2v4-9,0
informed,23,1292,-6224.0,naive,0.02031733746130031,0.925163385238828,18.727554179566564,0.017027863777089782,MATE-2v4-9,0
informed,24,1339,-5778.0,naive,0.06908140403286034,0.849866400981947,18.12845407020164,0.06565845158078167,MATE-2v4-9,0
informed,25,1337,-6374.0,naive,0.0024308152580403888,0.9274767902448883,18.015706806282722,0.0024308152580403888,MATE-2v4-9,0
informed,26,1270,-6134.0,naive,0.026181102362204726,0.8872628928223294,17.77716535433071,0.031233595800524934,MATE-2v4-9,0
informed,27,1294,-6132.0,naive,0.0258887171561051,0.9163783238871399,18.301391035548686,0.03426069036579083,MATE-2v4-9,0
informed,28,1404,-5966.0,naive,0.04522792022792023,0.8639101617904571,16.975071225071225,0.046415004748338075,MATE-2v4-9,0
informed,29,1306,-6170.0,naive,0.034647779479326186,0.9202465798531203,16.49617151607963,0.024948953547728428,MATE-2v4-9,0
informed,0,1248,-6188.0,naive,0.026041666666666668,0.8957274988654752,16.79326923076923,0.02403846153846154,MATE-2v4-9,1
informed,1,1185,-5770.0,naive,0.06645569620253164,0.8836370720854678,16.78396624472574,0.07742616033755274,MATE-2v4-9,1
informed,2,1032,-6098.0,naive,0.03657945736434109,0.8635351855080589,16.50968992248062,0.039001937984496124,MATE-2v4-9,1
informed,3,1311,-6084.0,naive,0.030129672006102212,0.8847747600784502,17.89855072463768,0.03508771929824561,MATE-2v4-9,1
informed,4,1198,-5484.0,naive,0.09557595993322204,0.8617366272015945,17.941569282136896,0.10607957707289928,MATE-2v4-9,1
informed,5,1106,-5888.0,naive,0.061256781193490054,0.8582013049185625,16.697106690777577,0.07067510548523208,MATE-2v4-9,1
informed,6,1188,-6006.0,naive,0.046085858585858584,0.8803053219884902,17.737373737373737,0.041456228956228955,MATE-2v4-9,1
informed,7,1348,-6250.0,naive,0.03208456973293768,0.912164121431363,16.414688427299705,0.015702274975272008,MATE-2v4-9,1
informed,8,1229,-6106.0,naive,0.06733116354759967,0.9246054285730682,16.78925956061839,0.03159750474640629,MATE-2v4-9,1
informed,9,1081,-5966.0,naive,0.050185013876040706,0.9033896022506521,16.48473635522664,0.056506321307431384,MATE-2v4-9,1
informed,10,1451,-6110.0,naive,0.030151619572708475,0.8778977391544954,18.04548587181254,0.02498277050310131,MATE-2v4-9,1
informed,11,1367,-5966.0,naive,0.046634967081199706,0.8920676082989196,17.7542062911485,0.05919287978541819,MATE-2v4-9,1
informed,12,1408,-6046.0,naive,0.039595170454545456,0.8827240948378843,16.9609375,0.031782670454545456,MATE-2v4-9,1
informed,13,1379,-5784.0,naive,0.07124728063814358,0.9126086837989522,17.913705583756347,0.09040367416001933,MATE-2v4-9,1
informed,14,1345,-6030.0,naive,0.05371747211895911,0.8420300914673432,16.664684014869888,0.03438661710037175,MATE-2v4-9,1
informed,15,1365,-6090.0,naive,0.028388278388278388,0.9235367757087689,18.49084249084249,0.035164835164835165,MATE-2v4-9,1
