baseline,checkpoint,episode,episode_length,episode_return,mean_coverage_rate,mean_energy_remaining,mean_mean_transport_rate,mean_num_delivered_cargoes,mean_real_coverage_rate,scenario,seed
random,,0,1225,-4560.0,0.24714285714285714,nan,0.7405932781269732,18.06122448979592,0.22877551020408163,MATE-4v4-9,0
random,,1,1308,-4166.0,0.3012232415902141,nan,0.5951447922312868,19.19954128440367,0.23209734964322123,MATE-4v4-9,0
random,,2,1355,-4230.0,0.2959409594095941,nan,0.6617211194542485,17.45239852398524,0.30817958179581795,MATE-4v4-9,0
random,,3,1465,-4130.0,0.26706484641638223,nan,0.686561600550604,19.25119453924915,0.29357224118316266,MATE-4v4-9,0
random,,4,1341,-4464.0,0.25205070842654737,nan,0.6264359114065734,18.781506338553317,0.23030077056922693,MATE-4v4-9,0
random,,5,1061,-3838.0,0.31267672007540054,nan,0.6461552100782874,16.66823751178134,0.32186616399622997,MATE-4v4-9,0
random,,6,1205,-4740.0,0.23921161825726142,nan,0.7869761362544023,17.073858921161825,0.22745504840940525,MATE-4v4-9,0
random,,7,1298,-3980.0,0.31741140215716485,nan,0.650537884186222,17.540832049306626,0.3416795069337442,MATE-4v4-9,0
random,,8,1336,-4156.0,0.28611526946107785,nan,0.6393935658938503,17.743263473053894,0.30208333333333337,MATE-4v4-9,0
random,,9,1568,-4296.0,0.27232142857142855,nan,0.6625341285958417,19.51658163265306,0.2579187925170068,MATE-4v4-9,0
random,,10,1161,-4206.0,0.25344530577088714,nan,0.6646829239958266,17.45305770887166,0.26995406258972154,MATE-4v4-9,0
random,,11,1437,-4238.0,0.26478775226165624,nan,0.6696976677565366,19.272094641614476,0.24959406170262116,MATE-4v4-9,0
random,,12,1547,-3974.0,0.3021978021978022,nan,0.6366346566880385,19.224305106658047,0.2865761689291101,MATE-4v4-9,0
random,,13,1380,-4472.0,0.2480072463768116,nan,0.6970088286015994,17.734057971014494,0.24057971014492754,MATE-4v4-9,0
random,,14,1334,-4824.0,0.23706896551724138,nan,0.7637095644094589,16.847826086956523,0.20914542728635682,MATE-4v4-9,0
random,,15,1375,-4296.0,0.2792727272727273,nan,0.6925553428127521,17.296727272727274,0.25381818181818183,MATE-4v4-9,0
random,,16,1392,-4196.0,0.2733477011494253,nan,0.6304817724314138,18.339798850574713,0.25365181992337166,MATE-4v4-9,0
random,,17,1280,-4190.0,0.28125,nan,0.6023837680956063,16.65703125,0.24889322916666665,MATE-4v4-9,0
random,,18,1135,-3854.0,0.3200440528634361,nan,0.6048663056182638,16.65638766519824,0.32393538913362696,MATE-4v4-9,0
random,,19,1089,-4394.0,0.2878787878787879,nan,0.7373552690128258,17.446280991735538,0.2914753596571778,MATE-4v4-9,0
random,,20,1306,-4134.0,0.27029096477794795,nan,0.673901707509629,17.87978560490046,0.3105538540071465,MATE-4v4-9,0
random,,21,1410,-3900.0,0.3372340425531915,nan,0.5906341420518916,17.52269503546099,0.28138297872340423,MATE-4v4-9,0
random,,22,1236,-4598.0,0.22370550161812297,nan,0.7228884718352909,17.85275080906149,0.2262001078748652,MATE-4v4-9,0
random,,23,1348,-3878.0,0.33827893175074186,nan,0.6100930306358769,17.414688427299705,0.3359297725024728,MATE-4v4-9,0
