adapter,episode,episode_length,episode_return,inner,mean_coverage_rate,mean_mean_transport_rate,mean_num_delivered_cargoes,mean_real_coverage_rate,scenario,seed
naive,0,1135,-4526.0,heuristic,0.23744493392070484,0.6968745074642271,16.976211453744494,0.25036710719530103,MATE-4v4-9,0
naive,1,1363,-4868.0,heuristic,0.1887380777696258,0.7540116781464047,19.741746148202495,0.18561995597945707,MATE-4v4-9,0
naive,2,1354,-4406.0,heuristic,0.24316838995568685,0.6780420758042456,18.168389955686855,0.253877400295421,MATE-4v4-9,0
naive,3,1182,-4480.0,heuristic,0.24175126903553298,0.6912423037005648,16.68020304568528,0.23237450648618163,MATE-4v4-9,0
naive,4,1420,-5102.0,heuristic,0.16267605633802817,0.7829591388656719,18.775352112676057,0.16877934272300466,MATE-4v4-9,0
naive,5,1432,-5072.0,heuristic,0.16410614525139663,0.7329395693925876,18.374301675977655,0.15526070763500935,MATE-4v4-9,0
naive,6,1226,-5210.0,heuristic,0.18413539967373574,0.7705640640284008,18.16231647634584,0.14185698749320283,MATE-4v4-9,0
naive,7,1296,-4210.0,heuristic,0.251929012345679,0.638590040285893,16.95679012345679,0.2924382716049383,MATE-4v4-9,0
naive,8,1591,-4120.0,heuristic,0.27278441231929607,0.5888294284257558,19.499685732243872,0.24083385711292685,MATE-4v4-9,0
naive,9,1337,-4920.0,heuristic,0.15351533283470456,0.7300563681146338,18.105459985041136,0.17439541261530792,MATE-4v4-9,0
naive,10,1376,-4764.0,heuristic,0.19313226744186046,0.705455522247289,18.175872093023255,0.19210271317829455,MATE-4v4-9,0
naive,11,1417,-4670.0,heuristic,0.19760056457304165,0.6955509165297614,19.40014114326041,0.21559633027522937,MATE-4v4-9,0
naive,12,1204,-4392.0,heuristic,0.2462624584717608,0.6697402289370872,16.921926910299003,0.2492386489479513,MATE-4v4-9,0
naive,13,1656,-4612.0,heuristic,0.16304347826086957,0.6981805935784754,19.458937198067634,0.18513486312399355,MATE-4v4-9,0
naive,14,1387,-5216.0,heuristic,0.1807858687815429,0.784672513209624,17.669790915645276,0.1541095890410959,MATE-4v4-9,0
naive,15,1334,-4774.0,heuristic,0.2245127436281859,0.7188727887185331,17.859070464767616,0.21539230384807598,MATE-4v4-9,0
naive,16,1269,-4506.0,heuristic,0.2127659574468085,0.6665076698271197,17.96375098502758,0.21887312844759654,MATE-4v4-9,0
naive,17,1324,-4562.0,heuristic,0.19845166163141995,0.6878694676049634,17.899546827794563,0.2262084592145015,MATE-4v4-9,0
naive,18,1133,-5078.0,heuristic,0.17122683142100617,0.6433195591061718,15.85613415710503,0.15276551927037363,MATE-4v4-9,0
naive,19,1377,-5148.0,heuristic,0.17374727668845316,0.7856179220816858,19.66957153231663,0.1676954732510288,MATE-4v4-9,0
naive,20,1185,-4892.0,heuristic,0.2210970464135021,0.7104629534786207,17.326582278481013,0.18417721518987343,MATE-4v4-9,0
naive,21,1467,-4558.0,heuristic,0.19376278118609408,0.6656166908464916,17.900477164280844,0.19137695978186775,MATE-4v4-9,0
naive,22,1221,-4612.0,heuristic,0.240990990990991,0.6844922187177979,17.906633906633907,0.2495904995904996,MATE-4v4-9,0
naive,23,1363,-4876.0,heuristic,0.14563462949376377,0.7214978780207226,17.523110785033015,0.16281486916116408,MATE-4v4-9,0
naive,24,1198,-5400.0,heuristic,0.12813021702838062,0.8019439386943368,16.87729549248748,0.12200890372843627,MATE-4v4-9,0
