baseline,checkpoint,episode,episode_length,episode_return,mean_coverage_rate,mean_energy_remaining,mean_mean_transport_rate,mean_num_delivered_cargoes,mean_real_coverage_rate,scenario,seed
random,,0,1362,-7254.0,0.3581130690161527,nan,0.6111000522998499,36.61160058737151,0.393918257464513,MATE-8v8-9,0
random,,1,1213,-8176.0,0.33233718054410555,nan,0.6517121792514758,35.76999175597692,0.30858457975110903,MATE-8v8-9,0
random,,2,1153,-7940.0,0.3202515177797051,nan,0.605067018391754,35.08846487424111,0.32076157436088054,MATE-8v8-9,0
random,,3,1164,-8004.0,0.32656786941580757,nan,0.6336446128687199,35.878865979381445,0.3045184912452954,MATE-8v8-9,0
random,,4,1208,-7822.0,0.32295115894039733,nan,0.602325978423683,35.38245033112583,0.35534531693472093,MATE-8v8-9,0
random,,5,1218,-8086.0,0.3186576354679803,nan,0.594074602555681,35.41543513957307,0.30371315192743764,MATE-8v8-9,0
random,,6,1245,-7398.0,0.34548192771084335,nan,0.5886284035748076,37.507630522088355,0.3294205393000574,MATE-8v8-9,0
random,,7,1166,-7446.0,0.3513078902229846,nan,0.5614713042241775,34.03859348198971,0.3476946009964878,MATE-8v8-9,0
random,,8,1180,-8372.0,0.3308262711864407,nan,0.6571214940646661,36.29322033898305,0.30926150121065377,MATE-8v8-9,0
random,,9,1279,-8382.0,0.3254495699765442,nan,0.6668594709440766,37.54026583268178,0.3138882683644216,MATE-8v8-9,0
random,,10,1209,-8444.0,0.33881306865177835,nan,0.6831112788696381,36.23325062034739,0.2995992358895585,MATE-8v8-9,0
random,,11,1035,-8380.0,0.30833333333333335,nan,0.668365401816649,32.360386473429955,0.2965550954681389,MATE-8v8-9,0
random,,12,1261,-8514.0,0.32166931007137195,nan,0.6434042337932736,37.08723235527359,0.32291643064838943,MATE-8v8-9,0
random,,13,1068,-8310.0,0.3000936329588015,nan,0.6452970359181082,32.27621722846442,0.30590556447298023,MATE-8v8-9,0
random,,14,1392,-7704.0,0.33414152298850575,nan,0.6223748795225308,36.4080459770115,0.3101763478379858,MATE-8v8-9,0
random,,15,1111,-8410.0,0.3115436543654365,nan,0.6977987413890503,35.62556255625562,0.30345784578457846,MATE-8v8-9,0
random,,16,1212,-8102.0,0.29826732673267325,nan,0.6490555859251536,36.193894389438945,0.281496542511394,MATE-8v8-9,0
random,,17,1216,-8368.0,0.33223684210526316,nan,0.6627577461841699,35.4375,0.2684641290726817,MATE-8v8-9,0
random,,18,1365,-7482.0,0.3312271062271062,nan,0.5697786441398234,37.15824175824176,0.35010640153497297,MATE-8v8-9,0
random,,19,1174,-6920.0,0.36382027257240207,nan,0.6274210067078941,34.62947189097104,0.40888293988805063,MATE-8v8-9,0
random,,20,1080,-7940.0,0.3013888888888889,nan,0.5909341288399601,34.34722222222222,0.3092493386243386,MATE-8v8-9,0
random,,21,1164,-8310.0,0.3069158075601375,nan,0.634551551297295,35.43556701030928,0.26682007854688267,MATE-8v8-9,0
random,,22,1387,-7612.0,0.37265681326604183,nan,0.6244980186634198,39.20259552992069,0.3628094208123048,MATE-8v8-9,0
random,,23,1183,-8842.0,0.28169907016060863,nan,0.6487304920922785,34.99830938292477,0.2597039407478968,MATE-8v8-9,0
random,,24,1239,-7974.0,0.30922114608555284,nan,0.6242703535070966,34.235673930589186,0.2961086129367001,MATE-8v8-9,0
random,,25,1163,-7926.0,0.3624247635425623,nan,0.6319503594006565,35.725709372312984,0.346843139663432,MATE-8v8-9,0
random,,26,1233,-8562.0,0.28365774533657745,nan,0.6359861824591764,36.44201135442011,0.2760099254624802,MATE-8v8-9,0
random,,27,1266,-7062.0,0.3658175355450237,nan,0.5368870943544038,36.36571879936809,0.35037143609418486,MATE-8v8-9,0
random,,28,1007,-8048.0,0.34148460774577954,nan,0.5971016441552041,32.49851042701092,0.3536151700004729,MATE-8v8-9,0
random,,29,1248,-7908.0,0.33643830128205127,nan,0.6094224675352362,36.368589743589745,0.3123492826617827,MATE-8v8-9,0
random,,0,1359,-8222.0,0.30840691685062543,nan,0.6832555372807331,35.7785136129507,0.33622411436980976,MATE-8v8-9,1
random,,1,1202,-8288.0,0.2875415973377704,nan,0.6652925567779255,34.53993344425957,0.2735431027652325,MATE-8v8-9,1
random,,2,1242,-8286.0,0.3498389694041868,nan,0.6838409890849465,36.010466988727856,0.30650161030595807,MATE-8v8-9,1
random,,3,1127,-7800.0,0.32653061224489793,nan,0.5718402618175137,34.25909494232476,0.31895677525668653,MATE-8v8-9,1
random,,4,1373,-7710.0,0.31746176256372904,nan,0.6076255492941823,36.634377276037874,0.33828252349738147,MATE-8v8-9,1
random,,5,1160,-7964.0,0.30732758620689654,nan,0.6451690575602033,34.67844827586207,0.3075584975369458,MATE-8v8-9,1
random,,6,1296,-7584.0,0.30777391975308643,nan,0.5863986960704534,39.13734567901235,0.3331340020576132,MATE-8v8-9,1
random,,7,1266,-8648.0,0.31289494470774093,nan,0.6688359756535812,36.177725118483416,0.26623316783269396,MATE-8v8-9,1
random,,8,1153,-8202.0,0.3210104076322637,nan,0.6462927390164267,36.0338248048569,0.3460372527154834,MATE-8v8-9,1
random,,9,1163,-8980.0,0.28149183147033535,nan,0.7529807143131975,36.60533104041273,0.27892867379109854,MATE-8v8-9,1
random,,10,1420,-8492.0,0.283362676056338,nan,0.6619410233053722,36.962676056338026,0.29469735077129444,MATE-8v8-9,1
random,,11,1401,-8742.0,0.3080835117773019,nan,0.6309177750274212,37.276945039257676,0.2607176846470208,MATE-8v8-9,1
random,,12,1292,-8320.0,0.34655572755417957,nan,0.6525007047915946,37.502321981424146,0.28445378151260503,MATE-8v8-9,1
random,,13,1066,-7510.0,0.3821529080675422,nan,0.6022014291025768,32.64071294559099,0.37722013758599127,MATE-8v8-9,1
random,,14,1351,-7006.0,0.3753700962250185,nan,0.5322021265301513,34.99185788304959,0.38991223432378125,MATE-8v8-9,1
random,,15,1081,-7906.0,0.3258556891766883,nan,0.5797258814755933,34.357076780758554,0.35184132857583367,MATE-8v8-9,1
random,,16,1246,-7388.0,0.34781300160513645,nan,0.6206386362506887,36.624398073836275,0.3516376213406711,MATE-8v8-9,1
random,,17,1108,-7878.0,0.3171254512635379,nan,0.6373467066498463,34.90613718411552,0.3720399260787347,MATE-8v8-9,1
random,,18,1123,-7486.0,0.34227515583259127,nan,0.6234848113266285,33.3713268032057,0.37230632235084593,MATE-8v8-9,1
random,,19,1005,-8362.0,0.34701492537313433,nan,0.6289063210017509,31.201990049751245,0.32458422174840085,MATE-8v8-9,1
random,,20,1032,-8392.0,0.329578488372093,nan,0.716311842807518,34.125,0.31298795681063124,MATE-8v8-9,1
random,,21,1158,-7122.0,0.37305699481865284,nan,0.567795510296363,35.50259067357513,0.35495517723497,MATE-8v8-9,1
random,,22,1220,-8218.0,0.3069672131147541,nan,0.6491086238536371,35.14590163934426,0.3004254488680719,MATE-8v8-9,1
random,,23,1240,-8412.0,0.302116935483871,nan,0.6272857189398523,37.020967741935486,0.2759072580645161,MATE-8v8-9,1
random,,24,1196,-9030.0,0.28145903010033446,nan,0.6725693731160229,34.4933110367893,0.2537127727345118,MATE-8v8-9,1
random,,25,1207,-7922.0,0.31783347141673574,nan,0.5897434061019223,34.876553438276716,0.3116374718901645,MATE-8v8-9,1
random,,26,1211,-8568.0,0.28426919900908343,nan,0.6192523323769848,36.57968620974401,0.25558177028036644,MATE-8v8-9,1
random,,27,1111,-8392.0,0.2934293429342934,nan,0.6395364529011449,33.977497749774976,0.3013383481205263,MATE-8v8-9,1
random,,28,1384,-8050.0,0.32008670520231214,nan,0.6669323354727965,37.217485549132945,0.31955167905312415,MATE-8v8-9,1
random,,29,1298,-7634.0,0.3802966101694915,nan,0.5661033118046277,36.89214175654853,0.3519599750531954,MATE-8v8-9,1
random,,0,1157,-8072.0,0.3097450302506482,nan,0.5776533833162707,31.560069144338808,0.3000884882907355,MATE-8v8-9,2
random,,1,1244,-8542.0,0.3044614147909968,nan,0.6284283717538789,36.065916398713824,0.2667489664676159,MATE-8v8-9,2
random,,2,1131,-7374.0,0.3853890362511052,nan,0.5941269039417498,33.95490716180371,0.3782535472190644,MATE-8v8-9,2
random,,3,1102,-8304.0,0.30887023593466423,nan,0.6491038534611716,34.114337568058076,0.3069246391841673,MATE-8v8-9,2
random,,4,1392,-7594.0,0.3250718390804598,nan,0.597213945697821,38.50502873563219,0.3214388341543514,MATE-8v8-9,2
random,,5,1136,-8338.0,0.3282350352112676,nan,0.6609949004767095,34.94102112676056,0.31319688967136144,MATE-8v8-9,2
random,,6,1101,-8010.0,0.341394187102634,nan,0.6345013084911737,34.64486830154405,0.32964945287833575,MATE-8v8-9,2
random,,7,1225,-7766.0,0.3486734693877551,nan,0.6026120369731335,34.35265306122449,0.33085908649173956,MATE-8v8-9,2
random,,8,1264,-8162.0,0.31388449367088606,nan,0.6393932484332464,37.09493670886076,0.32003089210367686,MATE-8v8-9,2
random,,9,1327,-9344.0,0.28946872645064053,nan,0.7209790027873214,36.623963828183875,0.23042577241899018,MATE-8v8-9,2
random,,10,1317,-8026.0,0.3172930903568717,nan,0.672955464425963,37.65907365223994,0.33295910619373037,MATE-8v8-9,2
random,,11,1306,-7570.0,0.36160030627871365,nan,0.6074280678210066,38.40199081163859,0.372373842339386,MATE-8v8-9,2
random,,12,1195,-8600.0,0.3043933054393305,nan,0.6599534445761822,36.26945606694561,0.27839011755329746,MATE-8v8-9,2
random,,13,1051,-8480.0,0.3014985727878211,nan,0.6503713304689274,33.32730732635585,0.2779722259979158,MATE-8v8-9,2
random,,14,1353,-7798.0,0.31263858093126384,nan,0.627425203718562,37.21212121212121,0.30678298666103543,MATE-8v8-9,2
random,,15,1316,-7408.0,0.34166033434650456,nan,0.6275296663350766,37.00759878419453,0.367216673903604,MATE-8v8-9,2
random,,16,1103,-8854.0,0.30326382592928375,nan,0.6773108566679028,34.373526745240255,0.2752547165738462,MATE-8v8-9,2
random,,17,1286,-7382.0,0.3313569206842924,nan,0.6368012968054377,38.34758942457232,0.3390403984299785,MATE-8v8-9,2
random,,18,1135,-7438.0,0.3474669603524229,nan,0.5797931339759872,33.5374449339207,0.3630365009439899,MATE-8v8-9,2
