baseline,checkpoint,episode,episode_length,episode_return,mean_coverage_rate,mean_energy_remaining,mean_mean_transport_rate,mean_num_delivered_cargoes,mean_real_coverage_rate,scenario,seed
random,,0,1388,-8464.0,0.2835014409221902,nan,0.6836642255116648,38.07492795389049,0.26491954851104704,MATE-4v8-9,0
random,,1,1150,-8858.0,0.26804347826086955,nan,0.6903633286978381,36.0,0.2526490683229814,MATE-4v8-9,0
random,,2,1160,-8838.0,0.25765086206896554,nan,0.7383998573581416,35.14913793103448,0.30127668308702793,MATE-4v8-9,0
random,,3,1156,-8684.0,0.2936851211072664,nan,0.6905440488432327,36.108131487889274,0.24934297248311085,MATE-4v8-9,0
random,,4,1397,-8150.0,0.29876521116678595,nan,0.636578188098476,36.25912670007158,0.28767767665405464,MATE-4v8-9,0
random,,5,1293,-7694.0,0.309261407579273,nan,0.6006909571555069,36.85614849187935,0.3048815968769565,MATE-4v8-9,0
random,,6,1146,-9028.0,0.2695244328097731,nan,0.7102798960090703,33.46596858638743,0.2744380038228206,MATE-4v8-9,0
random,,7,1160,-7568.0,0.3455818965517241,nan,0.6013714004033772,34.72931034482759,0.3666697454844006,MATE-4v8-9,0
random,,8,1280,-9280.0,0.2396484375,nan,0.7324886502859773,37.121875,0.2500716145833334,MATE-4v8-9,0
random,,9,1223,-8824.0,0.2524529844644317,nan,0.7258523918166713,35.63614063777596,0.2528287193863645,MATE-4v8-9,0
random,,10,1103,-8222.0,0.31935630099728013,nan,0.6632996923983446,34.44333635539438,0.3053555238958684,MATE-4v8-9,0
random,,11,1183,-9880.0,0.20044378698224852,nan,0.7477808031825218,35.180896027049876,0.19924123495552068,MATE-4v8-9,0
random,,12,1183,-8608.0,0.2727176669484362,nan,0.6092495046650209,35.08368554522401,0.2528770679869581,MATE-4v8-9,0
random,,13,1120,-9060.0,0.2688616071428571,nan,0.7339131966698524,35.68035714285714,0.25605867346938777,MATE-4v8-9,0
random,,14,1093,-8302.0,0.3012351326623971,nan,0.6068847150711483,32.68252516010979,0.30409423604757546,MATE-4v8-9,0
random,,15,1182,-9030.0,0.27231387478849406,nan,0.74545230312323,34.89001692047378,0.256250503585529,MATE-4v8-9,0
random,,16,1281,-8192.0,0.3034738485558158,nan,0.646682484184345,35.87275565964091,0.2842849708189287,MATE-4v8-9,0
random,,17,1184,-7862.0,0.30753800675675674,nan,0.5916581080675698,35.272804054054056,0.3187872023809524,MATE-4v8-9,0
random,,18,1402,-8458.0,0.30358416547788875,nan,0.6865824492909434,38.28316690442225,0.280881054276204,MATE-4v8-9,0
random,,19,1228,-8576.0,0.2802320846905538,nan,0.694185035222166,36.12540716612378,0.28249088723437255,MATE-4v8-9,0
random,,20,1324,-8970.0,0.23347809667673716,nan,0.6953504567625622,35.46978851963746,0.2467783412458639,MATE-4v8-9,0
random,,21,1198,-9306.0,0.23445325542570952,nan,0.7400608203742386,34.475792988313856,0.23247277208045153,MATE-4v8-9,0
random,,22,1099,-9576.0,0.23350773430391264,nan,0.705419771855722,32.37397634212921,0.22268404176957407,MATE-4v8-9,0
random,,23,1147,-8922.0,0.268308631211857,nan,0.6970967131723523,34.26068003487358,0.2856499356499356,MATE-4v8-9,0
random,,24,1253,-8816.0,0.28511572226656023,nan,0.724458005258939,35.659217877094974,0.27398054193744537,MATE-4v8-9,0
random,,25,1216,-8920.0,0.28340871710526316,nan,0.6719237173403488,35.9827302631579,0.2770128446115288,MATE-4v8-9,0
random,,26,1114,-9204.0,0.24102333931777378,nan,0.6871541634117867,34.99371633752244,0.23277870394118147,MATE-4v8-9,0
random,,27,1203,-9066.0,0.25800083125519535,nan,0.7057616263530344,36.66500415627598,0.27557989945770495,MATE-4v8-9,0
